<<<<<<< HEAD
epoch,accuracy,loss,val_accuracy,val_loss
0,0.023956344,4.2728550060058845,0.040409837,4.182814297128896
1,0.053287856,4.154828963468377,0.10418033,4.06312041790759
2,0.109658934,4.018697677497812,0.17729509,3.863111400213398
3,0.1721146,3.811084394728178,0.26516393,3.5586529364351365
4,0.23751706,3.5429522513042206,0.34729508,3.2276319636673225
5,0.30542973,3.2732915263546767,0.42008197,2.920268406633471
6,0.35680765,3.019682004376941,0.47319672,2.6392759553721694
7,0.4084311,2.787225482571174,0.51795083,2.409659454079925
8,0.44158253,2.606122622548477,0.55393445,2.217496639392415
9,0.47931787,2.4397094770147887,0.58295083,2.066806892879674
10,0.50207365,2.309525177553601,0.6037705,1.94040812136697
11,0.52884036,2.193752984070355,0.62385243,1.8449117365430614
12,0.55091405,2.1019542493729118,0.6397541,1.758359031599076
13,0.56412005,2.023970237207608,0.65516394,1.685525477909651
14,0.5831105,1.9445422100663023,0.6660656,1.6300863076428898
15,0.599809,1.877294339717329,0.67606556,1.576762131980208
16,0.61626196,1.8086986499463715,0.6845082,1.5329675156562055
17,0.62673944,1.7576466641029265,0.68975407,1.4894384565900585
18,0.63920873,1.7064861926017647,0.6996721,1.4531991980114922
19,0.64914054,1.6638895717194102,0.70508194,1.424503749511281
20,0.659236,1.6216907145056523,0.7109016,1.3971834378164323
21,0.671105,1.5733310167981365,0.71762294,1.3668249444883378
22,0.6799727,1.5333416201733308,0.7222951,1.3426725747155361
23,0.68832195,1.5026427258573483,0.7290164,1.317149395825433
24,0.69809,1.4623825517552937,0.7297541,1.3045106750042712
25,0.70381993,1.4356287784498352,0.73483604,1.283286847052027
26,0.71140516,1.403476577826444,0.7413115,1.2578956123258247
27,0.72024554,1.3722426530283762,0.74237704,1.2460886279090506
28,0.7270123,1.3414996716855818,0.74655735,1.2320261069985687
29,0.7286221,1.32132555225211,0.75040984,1.215347376026091
=======
epoch,accuracy,loss,val_accuracy,val_loss
0,0.023956344,4.2728550060058845,0.040409837,4.182814297128896
1,0.053287856,4.154828963468377,0.10418033,4.06312041790759
2,0.109658934,4.018697677497812,0.17729509,3.863111400213398
3,0.1721146,3.811084394728178,0.26516393,3.5586529364351365
4,0.23751706,3.5429522513042206,0.34729508,3.2276319636673225
5,0.30542973,3.2732915263546767,0.42008197,2.920268406633471
6,0.35680765,3.019682004376941,0.47319672,2.6392759553721694
7,0.4084311,2.787225482571174,0.51795083,2.409659454079925
8,0.44158253,2.606122622548477,0.55393445,2.217496639392415
9,0.47931787,2.4397094770147887,0.58295083,2.066806892879674
10,0.50207365,2.309525177553601,0.6037705,1.94040812136697
11,0.52884036,2.193752984070355,0.62385243,1.8449117365430614
12,0.55091405,2.1019542493729118,0.6397541,1.758359031599076
13,0.56412005,2.023970237207608,0.65516394,1.685525477909651
14,0.5831105,1.9445422100663023,0.6660656,1.6300863076428898
15,0.599809,1.877294339717329,0.67606556,1.576762131980208
16,0.61626196,1.8086986499463715,0.6845082,1.5329675156562055
17,0.62673944,1.7576466641029265,0.68975407,1.4894384565900585
18,0.63920873,1.7064861926017647,0.6996721,1.4531991980114922
19,0.64914054,1.6638895717194102,0.70508194,1.424503749511281
20,0.659236,1.6216907145056523,0.7109016,1.3971834378164323
21,0.671105,1.5733310167981365,0.71762294,1.3668249444883378
22,0.6799727,1.5333416201733308,0.7222951,1.3426725747155361
23,0.68832195,1.5026427258573483,0.7290164,1.317149395825433
24,0.69809,1.4623825517552937,0.7297541,1.3045106750042712
25,0.70381993,1.4356287784498352,0.73483604,1.283286847052027
26,0.71140516,1.403476577826444,0.7413115,1.2578956123258247
27,0.72024554,1.3722426530283762,0.74237704,1.2460886279090506
28,0.7270123,1.3414996716855818,0.74655735,1.2320261069985687
29,0.7286221,1.32132555225211,0.75040984,1.215347376026091
>>>>>>> 202037b870ffe5b63f53b6997067a5e79a69fb86
